Index | Input | Output
----------------------
Input: 0 0    | 0  | 0
Input: 1545084 1    | 1545084  | -155036
Input: 2938926 2    | 2938926  | 167950
Input: 4045084 3    | 4045084  | 2796645
Input: 4755282 4    | 4755282  | 5668111
Input: 5000000 5    | 5000000  | 7522225
Input: 4755282 6    | 4755282  | 7700222
Input: 4045084 7    | 4045084  | 7593752
Input: 2938926 8    | 2938926  | 7700222
Input: 1545084 9    | 1545084  | 7522225
Input: 0 10    | 0  | 5668111
Input: -1545084 11    | -1545084  | 2951681
Input: -2938926 12    | -2938926  | 0
Input: -4045084 13    | -4045084  | -2951681
Input: -4755282 14    | -4755282  | -5668111
Input: -5000000 15    | -5000000  | -7522225
Input: -4755282 16    | -4755282  | -7700222
Input: -4045084 17    | -4045084  | -7593752
Input: -2938926 18    | -2938926  | -7700222
Input: -1545084 19    | -1545084  | -7522225
Input: 0 20    | 0  | -5668111
Input: 1545084 21    | 1545084  | -2951681
Input: 2938926 22    | 2938926  | 0
Input: 4045084 23    | 4045084  | 2951681
Input: 4755282 24    | 4755282  | 5668111
Input: 5000000 25    | 5000000  | 7522225
Input: 4755282 26    | 4755282  | 7700222
Input: 4045084 27    | 4045084  | 7593752
Input: 2938926 28    | 2938926  | 7700222
Input: 1545084 29    | 1545084  | 7522225
Input: 0 30    | 0  | 5668111
Input: -1545084 31    | -1545084  | 2951681
Input: -2938926 32    | -2938926  | 0
Input: -4045084 33    | -4045084  | -2951681
Input: -4755282 34    | -4755282  | -5668111
Input: -5000000 35    | -5000000  | -7522225
Input: -4755282 36    | -4755282  | -7700222
Input: -4045084 37    | -4045084  | -7593752
Input: -2938926 38    | -2938926  | -7700222
Input: -1545084 39    | -1545084  | -7522225
Input: 0 40    | 0  | -5668111
Input: 1545084 41    | 1545084  | -2951681
Input: 2938926 42    | 2938926  | 0
Input: 4045084 43    | 4045084  | 2951681
Input: 4755282 44    | 4755282  | 5668111
Input: 5000000 45    | 5000000  | 7522225
Input: 4755282 46    | 4755282  | 7700222
Input: 4045084 47    | 4045084  | 7593752
Input: 2938926 48    | 2938926  | 7700222
Input: 1545084 49    | 1545084  | 7522225
Input: 0 50    | 0  | 5668111
Input: -1545084 51    | -1545084  | 2951681
Input: -2938926 52    | -2938926  | 0
Input: -4045084 53    | -4045084  | -2951681
Input: -4755282 54    | -4755282  | -5668111
Input: -5000000 55    | -5000000  | -7522225
Input: -4755282 56    | -4755282  | -7700222
Input: -4045084 57    | -4045084  | -7593752
Input: -2938926 58    | -2938926  | -7700222
Input: -1545084 59    | -1545084  | -7522225
Input: 0 60    | 0  | -5668111
Input: 1545084 61    | 1545084  | -2951681
Input: 2938926 62    | 2938926  | 0
Input: 4045084 63    | 4045084  | 2951681
Input: 4755282 64    | 4755282  | 5668111
Input: 5000000 65    | 5000000  | 7522225
Input: 4755282 66    | 4755282  | 7700222
Input: 4045084 67    | 4045084  | 7593752
Input: 2938926 68    | 2938926  | 7700222
Input: 1545084 69    | 1545084  | 7522225
Input: 0 70    | 0  | 5668111
Input: -1545084 71    | -1545084  | 2951681
Input: -2938926 72    | -2938926  | 0
Input: -4045084 73    | -4045084  | -2951681
Input: -4755282 74    | -4755282  | -5668111
Input: -5000000 75    | -5000000  | -7522225
Input: -4755282 76    | -4755282  | -7700222
Input: -4045084 77    | -4045084  | -7593752
Input: -2938926 78    | -2938926  | -7700222
Input: -1545084 79    | -1545084  | -7522225
Input: 0 80    | 0  | -5668111
Input: 1545084 81    | 1545084  | -2951681
Input: 2938926 82    | 2938926  | 0
Input: 4045084 83    | 4045084  | 2951681
Input: 4755282 84    | 4755282  | 5668111
Input: 5000000 85    | 5000000  | 7522225
Input: 4755282 86    | 4755282  | 7700222
Input: 4045084 87    | 4045084  | 7593752
Input: 2938926 88    | 2938926  | 7700222
Input: 1545084 89    | 1545084  | 7522225
Input: 0 90    | 0  | 5668111
Input: -1545084 91    | -1545084  | 2951681
Input: -2938926 92    | -2938926  | 0
Input: -4045084 93    | -4045084  | -2951681
Input: -4755282 94    | -4755282  | -5668111
Input: -5000000 95    | -5000000  | -7522225
Input: -4755282 96    | -4755282  | -7700222
Input: -4045084 97    | -4045084  | -7593752
Input: -2938926 98    | -2938926  | -7700222
Input: -1545084 99    | -1545084  | -7522225
